cpufreq_before,duration,evidence,cpufreq_after,perf:task-clock,perf:context-switches,perf:cpu-migrations,perf:page-faults,perf:cycles,perf:instructions,perf:branches,perf:branch-misses,perf:L1-dcache-loads,perf:L1-dcache-load-misses,perf:LLC-loads,perf:LLC-load-misses,timestamp,exit_code
2500000,314131630,49954166378,2500000,376.806083,0.000000,0.000000,3224.000000,939795386.000000,348670514.000000,87437743.000000,11766630.000000,107026932.000000,28383332.000000,14708511.000000,232390.000000,1783454539939920020,0
2500000,314557958,49954166378,2500000,377.278485,0.000000,0.000000,3224.000000,940972728.000000,348670153.000000,87437657.000000,11750172.000000,107026873.000000,28380439.000000,14513828.000000,271188.000000,1783454540367102809,0
2500000,315534354,49954166378,2500000,378.439410,0.000000,0.000000,3224.000000,943868877.000000,348671561.000000,87438009.000000,11741534.000000,107027262.000000,28408503.000000,14820225.000000,257971.000000,1783454540791254407,0
2500000,315743489,49954166378,2500000,378.573804,0.000000,0.000000,3224.000000,944204097.000000,348670591.000000,87437713.000000,11754784.000000,107026940.000000,28332309.000000,14807996.000000,258606.000000,1783454541219819277,0
2500000,313178118,49954166378,2500000,375.770425,0.000000,0.000000,3224.000000,937210991.000000,348670357.000000,87437730.000000,11717255.000000,107026919.000000,28368091.000000,14497593.000000,245336.000000,1783454541645407810,0
2500000,314462526,49954166378,2500000,377.136648,0.000000,0.000000,3224.000000,940619210.000000,348669884.000000,87437634.000000,11768620.000000,107026788.000000,28316889.000000,14626428.000000,254048.000000,1783454542071876445,0
2500000,313936186,49954166378,2500000,376.646628,0.000000,0.000000,3224.000000,939397029.000000,348670692.000000,87437768.000000,11736531.000000,107026949.000000,28384618.000000,14660256.000000,241861.000000,1783454542500707446,0
2500000,314758706,49954166378,2500000,377.458830,0.000000,0.000000,3224.000000,941421767.000000,348671734.000000,87437933.000000,11755819.000000,107027282.000000,28385025.000000,14593029.000000,267824.000000,1783454542926246143,0
2500000,314436529,49954166378,2500000,377.154796,0.000000,0.000000,3224.000000,940664182.000000,348669970.000000,87437680.000000,11745931.000000,107026864.000000,28373103.000000,14770023.000000,232831.000000,1783454543353250737,0
2500000,315572055,49954166378,2500000,378.536081,0.000000,0.000000,3224.000000,944109756.000000,348670281.000000,87437666.000000,11756187.000000,107026905.000000,28397892.000000,14895267.000000,250796.000000,1783454543780967739,0
2500000,313897194,49954166378,2500000,376.593300,0.000000,0.000000,3224.000000,939264579.000000,348675639.000000,87438124.000000,11742977.000000,107027990.000000,28379844.000000,14589539.000000,248986.000000,1783454544213180348,0
2500000,313854777,49954166378,2500000,376.559428,0.000000,0.000000,3224.000000,939179743.000000,348670824.000000,87437858.000000,11732498.000000,107027095.000000,28386149.000000,14437068.000000,257378.000000,1783454544640985614,0
2500000,316687546,49954166378,2500000,379.658283,0.000000,0.000000,3224.000000,946908808.000000,348671547.000000,87437856.000000,11772000.000000,107027158.000000,28416641.000000,15028362.000000,240662.000000,1783454545068825697,0
2500000,315544457,49954166378,2500000,378.472012,0.000000,0.000000,3224.000000,943949693.000000,348671076.000000,87437756.000000,11730294.000000,107027035.000000,28402308.000000,14832505.000000,260200.000000,1783454545499806543,0
2500000,316751502,49954166378,2500000,379.843574,0.000000,0.000000,3224.000000,947371016.000000,348671521.000000,87437920.000000,11738784.000000,107027231.000000,28418788.000000,15233136.000000,234414.000000,1783454545932960137,0
2500000,317993263,49954166378,2500000,381.241349,0.000000,0.000000,3224.000000,950856732.000000,348671832.000000,87437951.000000,11759834.000000,107027252.000000,28366062.000000,15294542.000000,258304.000000,1783454546367129104,0
